name,domain,type,accuracy,latency,clients,use_cases,description,contributor,usage,data_drift,pred_drift,cpu_util,mem_util,throughput,error_rate
Fin-Audit-GPT,Finance,Official,0.98,35,"JP Morgan, Goldman Sachs",Audit Automation,High-precision LLM for detecting non-compliant transactions.,System,8500,0.012,0.015,45,8,450,0.02
Tax-Compliance-Pro,Finance,Official,0.94,45,"HSBC, Barclays",Tax Mapping,Automates tax code mapping for cross-border trade.,System,6200,0.021,0.025,30,4,210,0.05
Talent-Match-AI,HR,Official,0.95,25,"Google, Meta",Bias Removal,Matches resumes while masking demographic data.,System,9100,0.005,0.007,25,4,800,0.01
Eco-Vendor-Scorer,Procurement,Official,0.87,55,"Unilever, Shell",ESG Scoring,Evaluates supplier sustainability via news analytics.,System,4300,0.08,0.09,55,12,120,0.12
Logi-Route-Optimizer,Supply Chain,Official,0.96,40,"FedEx, DHL",Route Optimization,Reduces carbon footprint via route optimization.,System,7800,0.03,0.04,70,14,350,0.08
name,domain,type,accuracy,latency,clients,use_cases,description,contributor,usage,data_drift,pred_drift,cpu_util,mem_util,throughput,error_rate
Fin-Audit-GPT,Finance,Official,0.98,35,"JP Morgan, Goldman Sachs",Audit Automation,Enterprise-grade LLM detecting non-compliant financial transactions across multi-region banking operations with explainable reasoning outputs.,John Doe,8500,0.012,0.015,45,8,450,0.02
Tax-Compliance-Pro,Finance,Official,0.94,45,"HSBC, Barclays",Tax Mapping,Automates cross-border tax mapping using structured rules and adaptive learning from historical trade filings.,Jane Nu,6200,0.021,0.025,30,4,210,0.05
Credit-Risk-Inspector,Finance,Official,0.92,50,"Citi, Wells Fargo",Credit Scoring,Predicts borrower risk using behavioral transaction data and macroeconomic signals across lending portfolios globally.,John Doe,7700,0.03,0.035,55,10,300,0.06
Fraud-Pattern-Detector,Finance,Official,0.97,28,"Visa, Mastercard",Fraud Detection,Real-time anomaly detection engine identifying suspicious payment patterns across card networks with adaptive retraining.,John Doe,11200,0.009,0.011,60,12,900,0.015
Algo-Trade-Sentinel,Finance,Experimental,0.88,20,"QuantConnect",Trade Monitoring,Monitors algorithmic trading behavior detecting volatility-driven strategy failures and compliance risks in live markets.,Sam King,3400,0.04,0.05,40,6,650,0.09
Liquidity-Stress-Model,Finance,Official,0.91,42,"Morgan Stanley",Risk Simulation,Simulates liquidity stress scenarios using historical crisis datasets and probabilistic portfolio sensitivity modeling techniques.,John Doe,5200,0.025,0.03,44,8,260,0.05
AML-Entity-Resolver,Finance,Official,0.95,38,"Standard Chartered",AML Monitoring,Resolves entity identities across fragmented datasets to strengthen anti-money laundering investigation workflows and decision accuracy.,Jane Nu,6900,0.018,0.02,46,9,380,0.03
Derivatives-Pricing-AI,Finance,Experimental,0.87,55,"Bloomberg Sandbox",Pricing Models,Estimates derivatives pricing using hybrid Monte Carlo and neural calibration methods for volatile financial instruments.,Sam King,3100,0.05,0.055,62,13,140,0.08
Treasury-Forecast-Net,Finance,Official,0.93,47,"Deutsche Bank",Cash Forecasting,Forecasts enterprise treasury cash flows leveraging payment patterns and seasonality-aware forecasting pipelines across global operations.,John Doe,5800,0.024,0.028,41,8,300,0.04
Portfolio-Risk-Ranker,Finance,Official,0.9,52,"BlackRock",Portfolio Analytics,Ranks portfolio risks by exposure concentration and market sensitivity using explainable AI scoring and stress indicators.,Jane Nu,4700,0.03,0.034,48,9,210,0.06

Payroll-Anomaly-AI,HR,Official,0.93,38,"Accenture, Infosys",Payroll Audits,Detects payroll inconsistencies using employee compensation patterns and policy deviations across multi-country HR systems.,John Doe,5600,0.02,0.024,35,6,280,0.04
Talent-Match-AI,HR,Official,0.95,25,"Google, Meta",Bias Removal,Matches resumes with job requirements while masking demographic attributes to reduce bias in hiring pipelines.,Jane Nu,9100,0.005,0.007,25,4,800,0.01
Attrition-Predictor,HR,Official,0.91,42,"IBM, Dell",Employee Retention,Predicts voluntary employee attrition risk using engagement signals, compensation history, and performance trend indicators.,John Doe,4800,0.028,0.032,32,6,220,0.05
Skill-Gap-Analyzer,HR,Official,0.89,60,"TCS, Cognizant",Workforce Planning,Identifies organizational skill shortages using project pipelines, training data, and role evolution across business units.,Sam King,3600,0.045,0.048,28,5,140,0.07
